ANDHRA PRADESH(EAST),"Srikakulam, Vizianagarm, Vishakhapatnam, East Godavari"
ANDHRA PRADESH(CENTRAL),"West Godavari, Krishna, Guntur, Prakasam, Nellore"
ANDHRA PRADESH(WEST),"Y.S.R., Chittoor, Kurnool, Anantapur"
ARUNACHAL (EAST),"Tirap, Changlang, Lohit, Anjaw, Lower Dibang Valley, Dibang Valley, Namsai"
ARUNACHAL (CENTRAL),"East Siang, West Siang, Upper Siang, Upper Subansiri, Lower Subansiri, Papum Pare, Longding"
ARUNACHAL (WEST),"Kurung Kumey, East Kameng, West Kameng, Tawang"
ASSAM (EAST),"Tinsukia, Dhemaji, Sibsagar, Jorhat, Lakhimpur, Dibrugarh"
ASSAM (CENTRAL),"Golaghat, Karbianglong, Sonitpur, Nagaon, Dima Hasao, Cachar, Hailakandi, Karimganj, Morigaon, Darrang, Udalguri, Kamrup Metro"
ASSAM (WEST),"Baksa, Kamrup, Nalbari, Barpeta, Goalpara, Bongaigaon, Chirang, Kokrajhar, Dhubri"
BIHAR (EAST),"Supaul, Araria, Kishanganj, Purnia, Madhepura, Katihar, Bhagalpur, Banka"
BIHAR (CENTRAL),"Saharsa, Khagaria, Munger, Madhubani, Darbhanga, Samastipur, Begusarai, Lakhisarai, Jamui, Nawada, Sheikhpura, Nalanda, Vaishali, Muzaffarpur, "
,"Sheohar, Sitamarhi, Patna"
BIHAR (WEST),"Paschim Champaran, Purba Champaran, Gopalganj, Siwan, Saran, Bhojpur, Buxar, Rohtas, Kaimur, Aurangabad, Gaya, Jahanabad, Arwal"
CHHATTISHGARH (EAST),"Jashpur, Balrampur, Surguja, Raigarh, Surajpur, Korba, Janjgir-Champa, Mahasamund, Gariaband, Baloda Bazar, Koriya"
CHHATTISHGARH (WEST),"Bilaspur, Mungeli, Kabirdham, Bemetara, Durg, Dhamtari, Raipur, Balod, Kanker, Rajnandgaon, Kondagaon, Narayanpur, Bastar, Dantewada, Bijapur, Sukma"
GUJRAT (EAST),"Anand, Bharuch, Dahod, Gandhinagar, Kheda, Narmada, Navsari, Panchmahal, Sabarkantha, Surat, Tapi, The Dangs, Vadodara, Valsad, "
,"Mahisagar, Aravalli, Chhota Udaipur"
GUJRAT (CENTRAL),"Morbi, Banaskantha, Patan, Surendernagar, Botad, Bhavnagar, Amreli, Gir Somnath, Junagadh, Rajkot, Ahemedabad, Mehsana"
GUJRAT (WEST),"Jamnagar, Porbandar, Devbhumi Dwarka, Kachchh"
HARYANA (EAST),"Yamunanagar, Panchkula, Ambala, Kurukshetra, Kaithal, Jind, Rohtak, Sonipat, Jhajjar, Gurgaon, Rewari, Mewat, Palwal, Faridabad, Mahendragarh, "
,"Karnal, Panipat"
HARYANA (WEST),"Sirsa, Fatehabad, Hisar, Bhiwani"
HIMACHAL PRADESH (EAST),"Lahaul and Spiti, Kullu, Kinnaur, Shimla, Sirmaur, Mandi, Solan"
HIMACHAL PRADESH (WEST),"Bilaspur, Una, Hamirpur, Kangra, Chamba"
JAMMU & KASHMIR (EAST),Leh
JAMMU & KASHMIR (CENTRAL),"Kargil, Kishtwar, Doda, Kathua, Udhampur, Ramban, Ananthnag, Pulwama, Ganderbal"
JAMMU & KASHMIR (WEST),"Kupwara, Baramulla, Badgam, Poonch, Rajouri, Reasi, Jammu, Samba, Kulgam, Shopian, Srinagar, Bandipore"
