MONTHS ®,JAN,,FEB,,MAR,,APR,,MAY,,JUN,,JUL,,AUG,,SEP,,OCT,,NOV,,DEC,
LOCATION ¯,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve,Mor,Eve
ANDAMAN & NICOBAR,5:42,17:12,5:39,17:24,5:24,17:28,5:06,17:30,4:54,17:35,4:54,17:43,5:01,17:46,5:06,17:37,5:07,17:18,5:08,16:59,5:16,16:50,5:31,16:57
ANDHRA PRADESH(EAST),6:20,17:30,6:12,17:45,5:52,17:55,5:28,18:02,5:12,18:12,5:09,18:22,5:18,18:24,5:27,18:11,5:33,17:47,5:40,17:23,5:53,17:09,6:10,17:12
ANDHRA PRADESH(CENTRAL),6:32,17:47,6:26,18:02,6:06,18:10,5:44,18:16,5:29,18:25,5:27,18:35,5:35,18:37,5:43,18:24,5:48,18:02,5:54,17:38,6:05,17:25,6:22,17:30
ANDHRA PRADESH(WEST),6:45,18:04,6:39,18:18,6:21,18:25,6:00,18:30,5:45,18:37,5:44,18:47,5:52,18:49,6:00,18:38,6:03,18:16,6:07,17:54,6:18,17:42,6:34,17:47
ARUNACHAL (EAST),5:55,16:31,5:40,16:54,5:11,17:12,4:37,17:29,4:14,17:46,4:08,18:00,4:18,18:00,4:34,17:40,4:49,17:08,5:05,16:34,5:26,16:12,5:47,16:11
ARUNACHAL (CENTRAL),6:02,16:39,5:48,17:02,5:19,17:20,4:45,17:36,4:22,17:54,4:16,18:08,4:26,18:08,4:42,17:48,4:57,17:15,5:13,16:42,5:33,16:20,5:55,16:19
ARUNACHAL (WEST),6:10,16:47,5:55,17:10,5:26,17:28,4:53,17:44,4:30,18:01,4:24,18:16,4:34,18:15,4:50,17:56,5:05,17:23,5:20,16:50,5:41,16:28,6:02,16:27
ASSAM (EAST),6:00,16:37,5:46,17:00,5:17,17:18,4:44,17:34,4:20,17:52,4:14,18:06,4:24,18:06,4:41,17:46,4:55,17:14,5:11,16:40,5:31,16:18,5:53,16:18
ASSAM (CENTRAL),6:07,16:47,5:53,17:09,5:25,17:27,4:53,17:42,4:30,17:59,4:24,18:13,4:34,18:13,4:50,17:54,5:04,17:22,5:19,16:49,5:39,16:27,6:00,16:27
ASSAM (WEST),6:14,16:56,6:01,17:18,5:33,17:35,5:02,17:50,4:39,18:06,4:34,18:20,4:44,18:20,4:59,18:01,5:12,17:30,5:27,16:58,5:46,16:37,6:07,16:37
BIHAR (EAST),6:27,17:10,6:14,17:32,5:46,17:48,5:15,18:03,4:53,18:19,4:47,18:32,4:58,18:33,5:12,18:14,5:25,17:43,5:39,17:11,5:59,16:51,6:19,16:51
